name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Na(Lac),NA,NaCH3CH2OCO2,aq,SK95,NA,1993-08-16,cal,-185189,-221669,45.533,113.1,64,10.5067,17.8733,-1.276,-3.5178,72.1974,20.0121,-0.03,0
Na(Lac)2-,NA,Na(CH3CH2OCO2)2-,aq,SK95,NA,1993-08-16,cal,-307610,-388006,69.462,260.8,136.5,20.6323,42.5939,-10.9852,-4.5397,164.3333,50.0919,0.5771,-1
K(Lac),NA,KCH3CH2OCO2,aq,SK95,NA,1993-08-30,cal,-190081,-223541,58.868,97.2,75.3,12.0572,21.661,-2.7676,-3.6744,62.8615,16.7671,-0.03,0
K(Lac)2-,NA,K(CH3CH2OCO2)2-,aq,SK95,NA,1993-08-30,cal,-312475,-388842,86.182,229.7,149.1,22.2742,46.6039,-12.5625,-4.7055,143.7822,43.7607,0.3236,-1
Ca(Lac)+,NA,CaCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-256587,-294436,23,121.1,45.1,8.0009,11.7524,1.1355,-3.2647,79.0115,21.6361,0.2025,1
Ca(Lac)2,NA,Ca(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-380563,-459217,57.364,278.6,115.4,17.5477,35.0629,-8.0266,-4.2284,169.154,53.7117,-0.03,0
Mg(Lac)+,NA,MgCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-232904,-274593,8,126,41.2,7.5465,10.6466,1.5614,-3.219,84.0159,22.6398,0.4322,1
Mg(Lac)2,NA,Mg(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-356826,-440700,37.734,288.2,111.1,16.9548,33.6148,-7.4563,-4.1685,174.7884,55.6701,-0.03,0
Sr(Lac)+,NA,SrCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-258627,-295697,29,115.4,45.8,8.0696,11.9219,1.0649,-3.2718,74.8585,20.4811,0.1124,1
Sr(Lac)2,NA,Sr(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-382098,-459421,65.215,267.5,116.2,17.6581,35.3352,-8.139,-4.2397,162.6705,51.4582,-0.03,0
Ba(Lac)+,NA,BaCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-257433,-291416,41,110.4,51.2,8.7414,13.5626,0.4195,-3.3396,70.2142,19.4498,-0.0697,1
Ba(Lac)2,NA,Ba(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-380522,-453654,80.919,257.6,122.2,18.4752,37.3316,-8.9265,-4.3222,156.8818,49.4461,-0.03,0
Mn(Lac)+,NA,MnCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-178981,-217756,17.615,128.8,46.1,8.1746,12.1772,0.9667,-3.2823,84.2783,23.2081,0.2832,1
Mn(Lac)2,NA,Mn(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-302971,-383047,50.317,293.6,116.6,17.7108,35.4655,-8.1945,-4.245,177.9788,56.7789,-0.03,0
Fe(Lac)+,NA,FeCH3CH2OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-147289,-189013,6.708,119.8,40.5,7.4532,10.4168,1.6567,-3.2095,80.5362,21.3748,0.4496,1
Fe(Lac)2,NA,Fe(CH3CH2OCO2)2,aq,SK95,SLOP16.6,1998-06-02,cal,-272042,-356112,36.043,276.1,110.3,16.8444,33.3487,-7.3593,-4.1575,167.6874,53.202,-0.03,0
Ni(Lac)+,NA,NiCH3CH2OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-135599,-179621,-0.382,111.7,32.9,6.4541,7.98,2.6079,-3.1088,76.8142,19.7248,0.5608,1
Ni(Lac)2,NA,Ni(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-259957,-346896,26.765,260.3,101.8,15.6892,30.5284,-6.2512,-4.0409,158.4254,49.9827,-0.03,0
Cu(Lac)+,NA,CuCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-110347,-151481,9.98,125.2,37.8,7.0703,9.4856,2.0147,-3.171,83.2379,22.4748,0.3993,1
Cu(Lac)2,NA,Cu(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-235047,-318184,40.325,286.6,107.3,16.4367,32.3514,-6.9634,-4.1163,173.8623,55.3481,-0.03,0
Zn(Lac)+,NA,ZnCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-160731,-200064,18,123.9,38.1,7.0755,9.4969,2.0126,-3.1715,81.34,22.1998,0.2792,1
Zn(Lac)2,NA,Zn(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-285376,-364728,55,284,107.7,16.4877,32.4799,-7.0229,-4.1216,172.3186,54.8116,-0.03,0
Pb(Lac)+,NA,PbCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-131350,-163610,47.338,109.5,47.8,8.2516,12.3686,0.8843,-3.2902,68.8031,19.2665,-0.1656,1
Pb(Lac)2,NA,Pb(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-256295,-327120,89.213,255.9,118.5,17.9656,36.0834,-8.4279,-4.2706,155.8527,49.0884,-0.03,0
Co(Lac)+,NA,CoCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-137385,-179856,4.799,120.5,38,7.1281,9.6212,1.9722,-3.1766,81.2111,21.5123,0.4799,1
Co(Lac)2,NA,Co(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-261457,-346408,33.545,277.4,107.5,16.4707,32.437,-7.003,-4.1198,168.4594,53.4702,-0.03,0
Cd(Lac)+,NA,CdCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-143409,-183519,17.888,130.2,47.8,8.4019,12.7361,0.739,-3.3054,85.0322,23.4831,0.2792,1
Cd(Lac)2,NA,Cd(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-267699,-349085,50.673,296.3,118.5,17.9656,36.0834,-8.4279,-4.2706,179.5224,57.3155,-0.03,0
Eu(Lac)+,NA,Eu(CH3CH2OCO2)+,aq,SK95,NA,1993-08-30,cal,-252899,-288803,38.339,151.6,62.7,10.3407,17.4658,-1.1113,-3.5009,94.7163,27.8372,-0.0294,1
Eu(Lac)2,NA,Eu(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-376425,-451723,77.437,338,135.1,20.2419,41.6449,-10.6207,-4.5005,203.9641,65.8108,-0.03,0
Li(Glyc),NA,LiCH3OCO2,aq,SK95,NA,1993-08-30,cal,-190953,-221668,27,NA,NA,8.2991,12.4812,0.8472,-3.2949,57.0031,14.7309,-0.03,0
Lu(Lac)+2,NA,LuCH3CH2OCO2+2,aq,SK95,NA,1993-08-30,cal,-287182,-338081,-34.08,NA,NA,4.3587,2.8618,4.6243,-2.8972,85.9749,19.6485,1.579,2
Ba(HCO3)+,NA,Ba(HCO3)+,aq,SK95,SLOP98.8,1992-11-00,cal,-275700,-294350,46.83,NA,NA,7.882,11.464,1.244,-3.253,26.273,4.46,-0.158,1
Ca(HCO3)+,NA,Ca(HCO3)+,aq,SK95,SLOP98.8,1991-01-00,cal,-273830,-294350,16,NA,NA,3.706,1.267,5.252,-2.831,41.722,8.336,0.308,1
La(Lac)+2,NA,LaCH3CH2OCO2+2,aq,SK95,SLOP98.8,1993-08-30,cal,-291087,-337701,-18.338,NA,NA,5.2529,5.0431,3.7711,-2.9874,76.8931,17.2652,1.3375,2
Li(Lac),NA,LiCH3CH2OCO2,aq,SK95,SLOP98.8,1993-08-30,cal,-192736,-232028,30.798,NA,NA,10.5433,17.9646,-1.316,-3.5216,78.9753,22.3678,-0.03,0
Mg(HCO3)+,NA,Mg(HCO3)+,aq,SK95,SLOP98.8,1991-01-00,cal,-250200,-275750,-3,NA,NA,3.271,0.206,5.669,-2.788,47.284,9.34,0.599,1
Sr(HCO3)+,NA,Sr(HCO3)+,aq,SK95,SLOP98.8,1992-11-00,cal,-276720,-291688,38,NA,NA,3.694,1.237,5.264,-2.83,35.345,7.181,-0.023,1
phenol,PHOL,C6H5OH,aq,DSM+97,NA,1997-11-20,cal,-12215,-36320,45.5,74.2,86.17,13.4599,23.7816,-0.7952,-3.762,67.7515,2.37,-0.2857,0
o-cresol,o-CRESOL,C6H4OHCH3,aq,DSM+97,NA,1996-02-22,cal,-12725,-45081,50.4,102.8,100.4,15.4181,28.2184,-1.8079,-3.9454,89.9089,5.1956,-0.2532,0
m-cresol,m-CRESOL,C6H4OHCH3,aq,DSM+97,NA,1996-02-22,cal,-13890,-45560,52.7,101.3,100.4,15.4233,28.2298,-1.8101,-3.9459,88.8505,5.0474,-0.238,0
p-cresol,p-CRESOL,C6H4OHCH3,aq,DSM+97,NA,1996-02-22,cal,-11625,-44245,49.5,91.8,100.4,15.4161,28.2174,-1.8159,-3.9454,81.0624,4.1088,-0.2592,0
"2,3-dimethylphenol","2,3-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-11005,-53849,47.8,123.1,114.4,17.3144,32.5179,-2.7887,-4.1232,105.9743,7.2013,-0.2705,0
"2,4-dimethylphenol","2,4-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-13081,-52675,58.7,117.8,114.4,17.3388,32.5725,-2.7994,-4.1254,102.4043,6.6776,-0.1982,0
"2,5-dimethylphenol","2,5-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-11875,-54420,48.8,129.1,114.4,17.3166,32.5246,-2.7936,-4.1235,110.8307,7.7941,-0.2639,0
"2,6-dimethylphenol","2,6-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-10973,-52445,52.4,118.8,114.4,17.3247,32.5408,-2.793,-4.1241,102.8187,6.7764,-0.24,0
"3,4-dimethylphenol","3,4-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-12264,-54422,50.1,112.9,114.4,17.3196,32.5292,-2.7906,-4.1237,97.9627,6.1935,-0.2552,0
"3,5-dimethylphenol","3,5-DMP",C6H3OHCH3CH3,aq,DSM+97,NA,1997-11-20,cal,-12459,-54945,49,121.3,114.4,17.3171,32.5233,-2.7885,-4.1234,104.6091,7.0234,-0.2625,0
Pb(Oxal),NA,PbC2O4,aq,PSK99,NA,2006-08-24,cal,-174301,-197051,40,-6,0,0,0,0,0,0.4283,-4.2567,-0.2657,0
Mn(Oxal),NA,MnC2O4,aq,PSK99,NA,2006-08-24,cal,-221617,-248588,18,2.6,0,0,0,0,0,8.2538,-2.5049,0.0674,0
Co(Oxal),NA,CoC2O4,aq,PSK99,NA,2006-08-24,cal,-180636,-210448,8,-1.1,0,0,0,0,0,7.3514,-3.2586,0.2188,0
Ni(Oxal),NA,NiC2O4,aq,PSK99,NA,2006-08-24,cal,-179041,-209437,6,-5,0,0,0,0,0,5.3189,-4.053,0.2491,0
Li(Mal)-,NA,LiC3H2O4-,aq,PSK99,NA,2006-08-24,cal,-234812,-272078,31,28.8,0,0,0,0,0,32.7472,2.832,1.1605,-1
Mg(Mal),NA,MgC3H2O4,aq,PSK99,NA,2006-08-24,cal,-276167,-317081,4,9.3,0,0,0,0,0,13.9292,-1.1482,0.2794,0
Zn(Mal),NA,ZnC3H2O4,aq,PSK99,NA,2006-08-24,cal,-204172,-242743,14,8.3,0,0,0,0,0,12.1007,-1.3438,0.128,0
Cd(Mal),NA,CdC3H2O4,aq,PSK99,NA,2006-08-24,cal,-187027,-225429,17,11.1,0,0,0,0,0,13.3032,-0.7938,0.0825,0
Pb(Mal),NA,PbC3H2O4,aq,PSK99,NA,2006-08-24,cal,-174819,-204905,48,1.9,0,0,0,0,0,3.7922,-2.6475,-0.4172,0
Mn(Succ),NA,MnC4H4O4,aq,PSK99,NA,2006-08-24,cal,-222564,-267487,23,25.4,0,0,0,0,0,20.9831,2.1394,-0.0083,0
Co(Succ),NA,CoC4H4O4,aq,PSK99,NA,2006-08-24,cal,-180409,-228471,12,21.7,0,0,0,0,0,20.2073,1.3857,0.1583,0
Ni(Succ),NA,NiC4H4O4,aq,PSK99,NA,2006-08-24,cal,-178473,-227715,8,17.8,0,0,0,0,0,18.428,0.5913,0.2188,0
Pb(Succ),NA,PbC4H4O4,aq,PSK99,NA,2006-08-24,cal,-175603,-212429,58,16.8,0,0,0,0,0,11.5118,0.3876,-0.5383,0
Na(Oxal)-,NA,NaC2O4-,aq,PSK99,NA,2006-08-24,cal,-224864,-253467,32.8,15.8,0,0,0,0,0,24.887,0.1839,1.1317,-1
K(Oxal)-,NA,KC2O4-,aq,PSK99,NA,2006-08-24,cal,-229702,-256488,42.1,8.7,0,0,0,0,0,19.5508,-1.2623,0.9911,-1
Fe(Oxal)+,NA,FeC2O4+,aq,PSK99,NA,2006-08-24,cal,-177951,-209886,-15.4,-27.4,0,0,0,0,0,-3.2911,-8.6159,0.7895,1
Cu(Oxal),NA,CuC2O4,aq,PSK99,NA,2006-08-24,cal,-153871,-181609,15.7,1,0,0,0,0,0,7.6072,-2.8308,0.1022,0
Na(Mal)-,NA,NaC4H4O5-,aq,PSK99,NA,2006-08-24,cal,-227252,-265366,33.5,23.7,0,0,0,0,0,29.43,1.7931,1.1213,-1
K(Mal)-,NA,KC4H4O5-,aq,PSK99,NA,2006-08-24,cal,-232648,-268321,44.9,16.6,0,0,0,0,0,23.826,0.3468,0.9486,-1
Cu(Mal),NA,CuC3H2O4,aq,PSK99,NA,2006-08-24,cal,-155944,-192837,17.6,8.9,0,0,0,0,0,11.9966,-1.2216,0.0735,0
La(Mal)+,NA,LaC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-334582,-376503,-9.2,-22.6,0,0,0,0,0,-1.3006,-7.6381,0.6911,1
Gd(Mal)+,NA,GdC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-329715,-371001,-4.4,-21.3,0,0,0,0,0,-1.1139,-7.3733,0.6223,1
Lu(Mal)+,NA,LuC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-330965,-374877,-17.3,-17.4,0,0,0,0,0,2.75,-6.5789,0.8111,1
Yb(Mal)+,NA,YbC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-324483,-367480,-12.1,-21.8,0,0,0,0,0,-0.4362,-7.4752,0.7384,1
Th(Mal)+2,NA,ThC3H2O4+2,aq,PSK99,NA,2006-08-24,cal,-342153,-389489,-44.2,14.8,0,0,0,0,0,29.2591,-0.0197,1.7247,2
UO2(Mal),NA,UO2C3H2O4,aq,PSK99,NA,2006-08-24,cal,-400814,-452438,21.3,23.7,0,0,0,0,0,20.202,1.7931,0.0174,0
Ce(Mal)+,NA,CeC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-331473,-373278,-5.2,-24,0,0,0,0,0,-2.6279,-7.9233,0.6305,1
Nd(Mal)+,NA,NdC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-331810,-373133,-3.7,-28.6,0,0,0,0,0,-5.5261,-8.8603,0.0603,1
Sm(Mal)+,NA,SmC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-330706,-372547,-5.9,-28.7,0,0,0,0,0,-5.313,-8.8807,0.6388,1
Pr(Mal)+,NA,PrC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-333756,-375646,-5.2,-33.1,0,0,0,0,0,-7.961,-9.777,0.6305,1
Eu(Mal)+,NA,EuC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-308524,-351636,-8.2,-22,0,0,0,0,0,-1.099,-7.5159,0.6732,1
Tb(Mal)+,NA,TbC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-331392,-374477,-9.2,-25.9,0,0,0,0,0,-3.2346,-8.3103,0.6911,1
Dy(Mal)+,NA,DyCC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-330783,-373740,-8.4,-17.1,0,0,0,0,0,1.8472,-6.5178,0.6821,1
Tm(Mal)+,NA,TmC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-331888,-376252,-13.3,-19.7,0,0,0,0,0,0.8771,-7.0474,0.7483,1
Ho(Mal)+,NA,HoC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-333361,-377876,-13.5,-18.7,0,0,0,0,0,1.5473,-6.8437,0.7484,1
Er(Mal)+,NA,ErC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-331861,-376225,-13.5,-19.7,0,0,0,0,0,0.9612,-7.0407,0.7584,1
Sc(Mal)+,NA,ScC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-311096,-351728,-10.2,-20.8,0,0,0,0,0,-0.091,-7.2715,0.7096,1
Fe(Mal)+,NA,FeC3H2O4+,aq,PSK99,NA,2006-08-24,cal,-174934,-215130,-10.5,-19.5,0,0,0,0,0,0.6708,-7.0067,0.7096,1
Na(Succ)-,NA,NaC4H4O4-,aq,PSK99,NA,2006-08-24,cal,-228131,-273880,40.5,38.6,0,0,0,0,0,37.2808,4.8282,1.0158,-1
K(Succ)-,NA,KC4H4O4-,aq,PSK99,NA,2006-08-24,cal,-233063,-276729,50.7,31.5,0,0,0,0,0,31.8262,3.382,0.8611,-1
Ca(Succ),NA,CaC4H4O4,aq,PSK99,NA,2006-08-24,cal,-299556,-344864,24,22,0,0,0,0,0,18.8639,1.4468,-0.0234,0
Cu(Succ),NA,CuC4H4O4,aq,PSK99,NA,2006-08-24,cal,-153453,-197474,26.3,23.8,0,0,0,0,0,19.6276,1.8135,-0.0583,0
Zn(Succ),NA,ZnC4H4O4,aq,PSK99,NA,2006-08-24,cal,-203223,-249935,19.3,23.2,0,0,0,0,0,20.1623,1.6912,0.0477,0
Cd(Succ),NA,CdC4H4O4,aq,PSK99,NA,2006-08-24,cal,-186515,-231329,28.1,26,0,0,0,0,0,20.6891,2.2616,-0.0855,0
UO2(Succ),NA,UO2C4H4O4,aq,PSK99,NA,2006-08-24,cal,-399128,-457582,31,38.6,0,0,0,0,0,27.7064,4.8282,-0.1295,0
Th(Succ)+2,NA,ThC4H4O4+2,aq,PSK99,NA,2006-08-24,cal,-342227,-397102,-36.5,29.7,0,0,0,0,0,37.0433,3.0153,1.6113,2
Cu(Glut),NA,CuC5H6O4,aq,PSK99,NA,2006-08-24,cal,-152107,-207131,22,34.6,0,0,0,0,0,26.5015,4.0134,0.0068,0
Zn(Glut),NA,ZnC5H6O4,aq,PSK99,NA,2006-08-24,cal,-202095,-259214,17,34,0,0,0,0,0,26.7828,3.8912,0.0825,0
Cd(Glut),NA,CdC5H6O4,aq,PSK99,NA,2006-08-24,cal,-184704,-239925,25.8,36.8,0,0,0,0,0,27.3096,4.4616,-0.0507,0
Ni(Glut),NA,NiC5H6O4,aq,PSK99,NA,2006-08-24,cal,-177781,-237520,5.4,28.6,0,0,0,0,0,25.0868,2.7912,0.2582,0
NH4(Oxal)-,NA,NH4C2O4-,aq,PSK99,NA,2006-08-24,cal,-181345,-228018,45.3,22.7,0,0,0,0,0,27.3509,1.5894,0.9427,-1
Mg(Oxal),NA,MgC2O4,aq,PSK99,NA,2006-08-24,cal,-274285,-305250,4.8,1.4,0,0,0,0,0,9.2216,-2.7493,0.2673,0
Ca(Oxal),NA,CaC2O4,aq,PSK99,NA,2006-08-24,cal,-297573,-325221,18,-0.8,0,0,0,0,0,6.2612,-3.1975,0.0674,0
Zn(Oxal),NA,ZnC2O4,aq,PSK99,NA,2006-08-24,cal,-202918,-233143,9.4,0.4,0,0,0,0,0,8.0532,-2.953,0.1976,0
Cd(Oxal),NA,CdC2O4,aq,PSK99,NA,2006-08-24,cal,-185118,-214285,15.4,3.2,0,0,0,0,0,8.9346,-2.3827,0.1068,0
Yb(Oxal)+,NA,YbC2O4+,aq,PSK99,NA,2006-08-24,cal,-324061,-357155,-11.5,-29.7,0,0,0,0,0,-5.1477,-9.0844,0.7287,1
Ce(Oxal)+,NA,CeC2O4+,aq,PSK99,NA,2006-08-24,cal,-331596,-363955,-6.1,-31.9,0,0,0,0,0,-7.1182,-9.5325,0.6472,1
Nd(Oxal)+,NA,NdC2O4+,aq,PSK99,NA,2006-08-24,cal,-331538,-363962,-6.5,-36.5,0,0,0,0,0,-9.8139,-10.4696,0.6472,1
Eu(Oxal)+,NA,EuC2O4+,aq,PSK99,NA,2006-08-24,cal,-307296,-340878,-8.8,-29.9,0,0,0,0,0,-5.6544,-9.1251,0.6821,1
Gd(Oxal)+,NA,GdC2O4+,aq,PSK99,NA,2006-08-24,cal,-329265,-361383,-6.3,-29.2,0,0,0,0,0,-5.5358,-8.9825,0.6472,1
Ru(Oxal)+,NA,RuC2O4+,aq,PSK99,NA,2006-08-24,cal,-126482,-160160,-20.9,-15.8,0,0,0,0,0,4.1659,-6.253,0.8683,1
Pa(Oxal)+2,NA,PaC2O4+2,aq,PSK99,NA,2006-08-24,cal,-320000,-356365,-40,7.6,0,0,0,0,0,24.5556,-1.4864,1.6668,2
Th(Oxal)+2,NA,ThC2O4+2,aq,PSK99,NA,2006-08-24,cal,-344064,-380981,-41.5,6.9,0,0,0,0,0,24.3366,-1.629,1.6897,2
U(Oxal)+2,NA,UC2O4+2,aq,PSK99,NA,2006-08-24,cal,-299498,-335905,-40.5,7.3,0,0,0,0,0,24.3797,-1.5475,1.6668,2
UO2(Oxal),NA,UO2C2O4,aq,PSK99,NA,2006-08-24,cal,-394838,-439747,11.2,15.8,0,0,0,0,0,16.8508,0.1839,0.1704,0
Y(Oxal)+,NA,YC2O4+,aq,PSK99,NA,2006-08-24,cal,-333796,-366418,-13.6,-29,0,0,0,0,0,-4.4891,-8.9418,0.7584,1
Be(Oxal),NA,BeC2O4,aq,PSK99,NA,2006-08-24,cal,-258486,-287616,5.4,5.4,0,0,0,0,0,11.4898,-1.9345,0.2582,0
Hg(Oxal),NA,HgC2O4,aq,PSK99,NA,2006-08-24,cal,-135958,-165076,21.3,8.9,0,0,0,0,0,11.5281,-1.2216,0.0174,0
Cr(Oxal),NA,CrC2O4,aq,PSK99,NA,2006-08-24,cal,-206872,-235418,10.7,-0.5,0,0,0,0,0,7.3612,-3.1364,0.178,0
Fe(Oxal),NA,FeC2O4,aq,PSK99,NA,2006-08-24,cal,-187214,-216233,10,-1.4,0,0,0,0,0,6.9223,-3.3197,0.1886,0
La(Oxal)+,NA,LaC2O4+,aq,PSK99,NA,2006-08-24,cal,-332059,-363948,-8.2,-30.5,0,0,0,0,0,-6.0804,-9.2474,0.6732,1
Tb(Oxal)+,NA,TbC2O4+,aq,PSK99,NA,2006-08-24,cal,-330479,-363938,-9.5,-29.1,0,0,0,0,0,-5.1099,-8.9622,0.6911,1
Er(Oxal)+,NA,ErC2O4+,aq,PSK99,NA,2006-08-24,cal,-326540,-360868,-12.4,-27.4,0,0,0,0,0,-3.7182,-8.6159,0.7384,1
Lu(Oxal)+,NA,LuC2O4+,aq,PSK99,NA,2006-08-24,cal,-330652,-364368,-15.7,-25.3,0,0,0,0,0,-2.0604,-8.1881,0.7895,1
Cr(Oxal)+,NA,CrC2O4+,aq,PSK99,NA,2006-08-24,cal,-219365,-253960,-25.2,-15.9,0,0,0,0,0,4.6276,-6.2733,0.9306,1
Ga(Oxal)+,NA,GaC2O4+,aq,PSK99,NA,2006-08-24,cal,-213318,-249539,-26.5,-19.5,0,0,0,0,0,2.7393,-7.0067,0.957,1
Sc(Oxal)+,NA,ScC2O4+,aq,PSK99,NA,2006-08-24,cal,-308354,-340481,-14.3,-28.7,0,0,0,0,0,-4.2279,-8.8807,0.7686,1
In(Oxal)+,NA,InC2O4+,aq,PSK99,NA,2006-08-24,cal,-194447,-228632,-15.6,-8.6,0,0,0,0,0,7.7267,-4.7863,0.7895,1
