protein,down.in.Clim-aerobic,up.in.Clim-aerobic,down.in.Clim-anaerobic,up.in.Clim-anaerobic
YBL029W,TRUE,FALSE,FALSE,FALSE
YBL095W,TRUE,FALSE,FALSE,FALSE
YBR151W,TRUE,FALSE,FALSE,FALSE
YCL025C,TRUE,FALSE,FALSE,TRUE
YCR043C,TRUE,FALSE,FALSE,FALSE
YCR102C,TRUE,FALSE,FALSE,FALSE
YDR309C,TRUE,FALSE,FALSE,FALSE
YDR352W,TRUE,FALSE,FALSE,FALSE
YDR533C,TRUE,FALSE,FALSE,FALSE
YEL016C,TRUE,FALSE,FALSE,FALSE
YER001W,TRUE,FALSE,FALSE,FALSE
YER028C,TRUE,FALSE,FALSE,FALSE
YER053C,TRUE,FALSE,FALSE,FALSE
YER124C,TRUE,FALSE,FALSE,FALSE
YFL025C,TRUE,FALSE,FALSE,FALSE
YFL026W,TRUE,FALSE,FALSE,FALSE
YGL065C,TRUE,FALSE,FALSE,FALSE
YGR041W,TRUE,FALSE,FALSE,FALSE
YGR125W,TRUE,FALSE,FALSE,FALSE
YGR192C,TRUE,FALSE,FALSE,FALSE
YHR048W,TRUE,FALSE,FALSE,FALSE
YHR049W,TRUE,FALSE,FALSE,FALSE
YHR179W,TRUE,FALSE,FALSE,FALSE
YHR210C,TRUE,FALSE,FALSE,FALSE
YIL111W,TRUE,FALSE,FALSE,FALSE
YJL212C,TRUE,FALSE,FALSE,FALSE
YJL213W,TRUE,FALSE,FALSE,FALSE
YJR030C,TRUE,FALSE,FALSE,FALSE
YKL043W,TRUE,FALSE,FALSE,FALSE
YKL062W,TRUE,FALSE,FALSE,FALSE
YKL209C,TRUE,FALSE,FALSE,FALSE
YKR093W,TRUE,FALSE,FALSE,FALSE
YLL028W,TRUE,FALSE,FALSE,FALSE
YLR108C,TRUE,FALSE,FALSE,FALSE
YLR179C,TRUE,FALSE,FALSE,FALSE
YLR460C,TRUE,FALSE,FALSE,FALSE
YMR057C,TRUE,FALSE,FALSE,FALSE
YMR269W,TRUE,FALSE,FALSE,FALSE
YMR285C,TRUE,FALSE,FALSE,FALSE
YNL066W,TRUE,FALSE,FALSE,FALSE
YNL134C,TRUE,FALSE,FALSE,FALSE
YNR032C-A,TRUE,FALSE,FALSE,FALSE
YOL136C,TRUE,FALSE,FALSE,FALSE
YOR171C,TRUE,FALSE,FALSE,FALSE
YPL095C,TRUE,FALSE,FALSE,FALSE
YPR013C,TRUE,FALSE,FALSE,FALSE
YPR106W,TRUE,FALSE,FALSE,FALSE
YPR138C,TRUE,FALSE,FALSE,FALSE
YAL054C,FALSE,TRUE,FALSE,FALSE
YAR068W,FALSE,TRUE,FALSE,FALSE
YBR026C,FALSE,TRUE,FALSE,FALSE
YBR046C,FALSE,TRUE,FALSE,FALSE
YBR068C,FALSE,TRUE,FALSE,FALSE
YBR072W,FALSE,TRUE,FALSE,FALSE
YBR116C,FALSE,TRUE,FALSE,FALSE
YBR117C,FALSE,TRUE,FALSE,FALSE
YBR150C,FALSE,TRUE,FALSE,FALSE
YBR157C,FALSE,TRUE,FALSE,FALSE
YBR230C,FALSE,TRUE,FALSE,FALSE
YBR295W,FALSE,TRUE,FALSE,FALSE
YCR010C,FALSE,TRUE,FALSE,FALSE
YCR018C,FALSE,TRUE,FALSE,FALSE
YDL009C,FALSE,TRUE,FALSE,FALSE
YDL049C,FALSE,TRUE,FALSE,FALSE
YDL085W,FALSE,TRUE,FALSE,FALSE
YDL204W,FALSE,TRUE,FALSE,FALSE
YDL214C,FALSE,TRUE,FALSE,FALSE
YDL223C,FALSE,TRUE,FALSE,FALSE
YDR018C,FALSE,TRUE,FALSE,FALSE
YDR034W-B,FALSE,TRUE,FALSE,FALSE
YDR070C,FALSE,TRUE,FALSE,FALSE
YDR077W,FALSE,TRUE,FALSE,FALSE
YDR216W,FALSE,TRUE,FALSE,FALSE
YDR256C,FALSE,TRUE,FALSE,FALSE
YDR380W,FALSE,TRUE,FALSE,FALSE
YDR384C,FALSE,TRUE,FALSE,FALSE
YDR453C,FALSE,TRUE,FALSE,FALSE
YDR536W,FALSE,TRUE,FALSE,FALSE
YEL041W,FALSE,TRUE,FALSE,FALSE
YEL057C,FALSE,TRUE,FALSE,FALSE
YER015W,FALSE,TRUE,FALSE,FALSE
YER024W,FALSE,TRUE,FALSE,FALSE
YER065C,FALSE,TRUE,FALSE,FALSE
YER103W,FALSE,TRUE,FALSE,FALSE
YER121W,FALSE,TRUE,FALSE,FALSE
YFL011W,FALSE,TRUE,FALSE,FALSE
YFL030W,FALSE,TRUE,FALSE,FALSE
YGL080W,FALSE,TRUE,FALSE,FALSE
YGL117W,FALSE,TRUE,FALSE,FALSE
YGL205W,FALSE,TRUE,FALSE,FALSE
YGL208W,FALSE,TRUE,FALSE,FALSE
YGR043C,FALSE,TRUE,FALSE,FALSE
YGR067C,FALSE,TRUE,FALSE,FALSE
YGR201C,FALSE,TRUE,FALSE,FALSE
YGR230W,FALSE,TRUE,FALSE,FALSE
YGR236C,FALSE,TRUE,FALSE,FALSE
YGR250C,FALSE,TRUE,FALSE,FALSE
YGR256W,FALSE,TRUE,FALSE,FALSE
YHL032C,FALSE,TRUE,FALSE,FALSE
YHR015W,FALSE,TRUE,FALSE,FALSE
YHR096C,FALSE,TRUE,FALSE,FALSE
YHR209W,FALSE,TRUE,FALSE,FALSE
YIL107C,FALSE,TRUE,FALSE,FALSE
YIL117C,FALSE,TRUE,FALSE,FALSE
YIL136W,FALSE,TRUE,FALSE,FALSE
YIL155C,FALSE,TRUE,FALSE,FALSE
YIL160C,FALSE,TRUE,FALSE,FALSE
YIR016W,FALSE,TRUE,FALSE,FALSE
YIR038C,FALSE,TRUE,FALSE,FALSE
YJL037W,FALSE,TRUE,FALSE,FALSE
YJL045W,FALSE,TRUE,FALSE,FALSE
YJL089W,FALSE,TRUE,FALSE,FALSE
YJL137C,FALSE,TRUE,FALSE,FALSE
YJL144W,FALSE,TRUE,FALSE,FALSE
YJL153C,FALSE,TRUE,FALSE,FALSE
YJL161W,FALSE,TRUE,FALSE,FALSE
YJL185C,FALSE,TRUE,FALSE,FALSE
YJL191W,FALSE,TRUE,FALSE,FALSE
YJL216C,FALSE,TRUE,FALSE,FALSE
YJL217W,FALSE,TRUE,FALSE,FALSE
YJR019C,FALSE,TRUE,FALSE,FALSE
YJR094C,FALSE,TRUE,FALSE,FALSE
YJR095W,FALSE,TRUE,FALSE,FALSE
YJR096W,FALSE,TRUE,FALSE,FALSE
YJR109C,FALSE,TRUE,FALSE,FALSE
YJR156C,FALSE,TRUE,FALSE,FALSE
YKL026C,FALSE,TRUE,FALSE,FALSE
YKL093W,FALSE,TRUE,FALSE,FALSE
YKL107W,FALSE,TRUE,FALSE,FALSE
YKL138C,FALSE,TRUE,FALSE,FALSE
YKL171W,FALSE,TRUE,FALSE,FALSE
YKL187C,FALSE,TRUE,FALSE,FALSE
YKR009C,FALSE,TRUE,FALSE,FALSE
YKR049C,FALSE,TRUE,FALSE,FALSE
YKR067W,FALSE,TRUE,FALSE,FALSE
YKR075C,FALSE,TRUE,FALSE,FALSE
YKR076W,FALSE,TRUE,FALSE,FALSE
YKR091W,FALSE,TRUE,FALSE,FALSE
YLR174W,FALSE,TRUE,FALSE,FALSE
YLR194C,FALSE,TRUE,FALSE,FALSE
YLR284C,FALSE,TRUE,FALSE,FALSE
YLR307W,FALSE,TRUE,FALSE,FALSE
YLR377C,FALSE,TRUE,FALSE,FALSE
YLR411W,FALSE,TRUE,FALSE,FALSE
YML042W,FALSE,TRUE,FALSE,FALSE
YML054C,FALSE,TRUE,FALSE,FALSE
YML122C,FALSE,TRUE,FALSE,FALSE
YML128C,FALSE,TRUE,FALSE,FALSE
YMR006C,FALSE,TRUE,FALSE,FALSE
YMR011W,FALSE,TRUE,TRUE,FALSE
YMR095C,FALSE,TRUE,FALSE,FALSE
YMR096W,FALSE,TRUE,FALSE,FALSE
YMR107W,FALSE,TRUE,FALSE,FALSE
YMR118C,FALSE,TRUE,FALSE,FALSE
YMR174C,FALSE,TRUE,FALSE,FALSE
YMR175W,FALSE,TRUE,FALSE,FALSE
YMR191W,FALSE,TRUE,FALSE,FALSE
YMR280C,FALSE,TRUE,FALSE,FALSE
YMR303C,FALSE,TRUE,FALSE,FALSE
YNL009W,FALSE,TRUE,FALSE,FALSE
YNL012W,FALSE,TRUE,FALSE,FALSE
YNL194C,FALSE,TRUE,FALSE,FALSE
YNL195C,FALSE,TRUE,FALSE,FALSE
YNL202W,FALSE,TRUE,FALSE,FALSE
YNL270C,FALSE,TRUE,FALSE,FALSE
YNL335W,FALSE,TRUE,FALSE,FALSE
YNR002C,FALSE,TRUE,FALSE,FALSE
YNR056C,FALSE,TRUE,FALSE,FALSE
YNR058W,FALSE,TRUE,FALSE,FALSE
YNR060W,FALSE,TRUE,FALSE,FALSE
YOL083W,FALSE,TRUE,FALSE,FALSE
YOL101C,FALSE,TRUE,FALSE,FALSE
YOL126C,FALSE,TRUE,FALSE,FALSE
YOL147C,FALSE,TRUE,FALSE,FALSE
YOR100C,FALSE,TRUE,FALSE,FALSE
YOR120W,FALSE,TRUE,FALSE,FALSE
YOR180C,FALSE,TRUE,FALSE,FALSE
YOR388C,FALSE,TRUE,FALSE,FALSE
YPL036W,FALSE,TRUE,FALSE,FALSE
YPL109C,FALSE,TRUE,FALSE,FALSE
YPL113C,FALSE,TRUE,FALSE,FALSE
YPL134C,FALSE,TRUE,FALSE,FALSE
YPL147W,FALSE,TRUE,FALSE,FALSE
YPL156C,FALSE,TRUE,FALSE,FALSE
YPL186C,FALSE,TRUE,FALSE,FALSE
YPL201C,FALSE,TRUE,FALSE,FALSE
YPL230W,FALSE,TRUE,FALSE,FALSE
YPL276W,FALSE,TRUE,FALSE,FALSE
YPR001W,FALSE,TRUE,FALSE,FALSE
YPR002W,FALSE,TRUE,FALSE,FALSE
YPR006C,FALSE,TRUE,FALSE,FALSE
YPR026W,FALSE,TRUE,FALSE,FALSE
YPR182W,FALSE,TRUE,FALSE,FALSE
YAL024C,FALSE,FALSE,TRUE,FALSE
YAL027W,FALSE,FALSE,TRUE,FALSE
YAL058W,FALSE,FALSE,TRUE,FALSE
YAR003W,FALSE,FALSE,TRUE,FALSE
YAR008W,FALSE,FALSE,TRUE,FALSE
YAR033W,FALSE,FALSE,TRUE,FALSE
YBL025W,FALSE,FALSE,TRUE,FALSE
YBL060W,FALSE,FALSE,TRUE,FALSE
YBL075C,FALSE,FALSE,TRUE,FALSE
YBL078C,FALSE,FALSE,TRUE,FALSE
YBL079W,FALSE,FALSE,TRUE,FALSE
YBR063C,FALSE,FALSE,TRUE,FALSE
YBR217W,FALSE,FALSE,TRUE,FALSE
YCL010C,FALSE,FALSE,TRUE,FALSE
YCL024W,FALSE,FALSE,TRUE,FALSE
YCL027W,FALSE,FALSE,TRUE,FALSE
YCL055W,FALSE,FALSE,TRUE,FALSE
YCR019W,FALSE,FALSE,TRUE,FALSE
YDL024C,FALSE,FALSE,TRUE,FALSE
YDL039C,FALSE,FALSE,TRUE,FALSE
YDR030C,FALSE,FALSE,TRUE,FALSE
YDR033W,FALSE,FALSE,TRUE,FALSE
YDR111C,FALSE,FALSE,TRUE,FALSE
YDR118W,FALSE,FALSE,TRUE,FALSE
YDR123C,FALSE,FALSE,TRUE,FALSE
YDR200C,FALSE,FALSE,TRUE,FALSE
YDR209C,FALSE,FALSE,TRUE,FALSE
YDR222W,FALSE,FALSE,TRUE,FALSE
YDR364C,FALSE,FALSE,TRUE,FALSE
YDR370C,FALSE,FALSE,TRUE,FALSE
YDR459C,FALSE,FALSE,TRUE,FALSE
YDR468C,FALSE,FALSE,TRUE,FALSE
YDR473C,FALSE,FALSE,TRUE,FALSE
YDR540C,FALSE,FALSE,TRUE,FALSE
YEL021W,FALSE,FALSE,TRUE,FALSE
YER037W,FALSE,FALSE,TRUE,FALSE
YER045C,FALSE,FALSE,TRUE,FALSE
YER132C,FALSE,FALSE,TRUE,FALSE
YER149C,FALSE,FALSE,TRUE,FALSE
YFL007W,FALSE,FALSE,TRUE,FALSE
YFR026C,FALSE,FALSE,TRUE,FALSE
YFR027W,FALSE,FALSE,TRUE,FALSE
YGL044C,FALSE,FALSE,TRUE,FALSE
YGL164C,FALSE,FALSE,TRUE,FALSE
YGL196W,FALSE,FALSE,TRUE,FALSE
YGL224C,FALSE,FALSE,TRUE,FALSE
YGR108W,FALSE,FALSE,TRUE,FALSE
YHR067W,FALSE,FALSE,TRUE,FALSE
YHR139C,FALSE,FALSE,TRUE,FALSE
YHR158C,FALSE,FALSE,TRUE,FALSE
YHR172W,FALSE,FALSE,TRUE,FALSE
YIL001W,FALSE,FALSE,TRUE,FALSE
YIL119C,FALSE,FALSE,TRUE,FALSE
YIL135C,FALSE,FALSE,TRUE,FALSE
YIR020C,FALSE,FALSE,TRUE,FALSE
YJL016W,FALSE,FALSE,TRUE,FALSE
YJL024C,FALSE,FALSE,TRUE,FALSE
YJL049W,FALSE,FALSE,TRUE,FALSE
YJL091C,FALSE,FALSE,TRUE,FALSE
YJL094C,FALSE,FALSE,TRUE,FALSE
YJL126W,FALSE,FALSE,TRUE,FALSE
YJL147C,FALSE,FALSE,TRUE,FALSE
YJL156C,FALSE,FALSE,TRUE,FALSE
YJR010C-A,FALSE,FALSE,TRUE,FALSE
YJR022W,FALSE,FALSE,TRUE,FALSE
YJR046W,FALSE,FALSE,TRUE,FALSE
YJR054W,FALSE,FALSE,TRUE,FALSE
YJR155W,FALSE,FALSE,TRUE,FALSE
YKL021C,FALSE,FALSE,TRUE,FALSE
YKL031W,FALSE,FALSE,TRUE,FALSE
YKL075C,FALSE,FALSE,TRUE,FALSE
YKL076C,FALSE,FALSE,TRUE,FALSE
YKL111C,FALSE,FALSE,TRUE,FALSE
YKL114C,FALSE,FALSE,TRUE,FALSE
YKL116C,FALSE,FALSE,TRUE,FALSE
YKL132C,FALSE,FALSE,TRUE,FALSE
YKL173W,FALSE,FALSE,TRUE,FALSE
YKL201C,FALSE,FALSE,TRUE,FALSE
YKR023W,FALSE,FALSE,TRUE,FALSE
YKR028W,FALSE,FALSE,TRUE,FALSE
YKR035C,FALSE,FALSE,TRUE,FALSE
YKR050W,FALSE,FALSE,TRUE,FALSE
YKR060W,FALSE,FALSE,TRUE,FALSE
YKR063C,FALSE,FALSE,TRUE,FALSE
YKR086W,FALSE,FALSE,TRUE,FALSE
YKR104W,FALSE,FALSE,TRUE,FALSE
YLL052C,FALSE,FALSE,TRUE,FALSE
YLL053C,FALSE,FALSE,TRUE,FALSE
YLL067C,FALSE,FALSE,TRUE,FALSE
YLR022C,FALSE,FALSE,TRUE,FALSE
YLR051C,FALSE,FALSE,TRUE,FALSE
YLR098C,FALSE,FALSE,TRUE,FALSE
YLR119W,FALSE,FALSE,TRUE,FALSE
YLR211C,FALSE,FALSE,TRUE,FALSE
YLR214W,FALSE,FALSE,TRUE,FALSE
YLR226W,FALSE,FALSE,TRUE,FALSE
YLR227C,FALSE,FALSE,TRUE,FALSE
YLR246W,FALSE,FALSE,TRUE,FALSE
YLR297W,FALSE,FALSE,TRUE,FALSE
YLR306W,FALSE,FALSE,TRUE,FALSE
YLR319C,FALSE,FALSE,TRUE,FALSE
YLR323C,FALSE,FALSE,TRUE,FALSE
YLR361C,FALSE,FALSE,TRUE,FALSE
YLR376C,FALSE,FALSE,TRUE,FALSE
YLR403W,FALSE,FALSE,TRUE,FALSE
YLR404W,FALSE,FALSE,TRUE,FALSE
YLR410W,FALSE,FALSE,TRUE,FALSE
YLR424W,FALSE,FALSE,TRUE,FALSE
YML034W,FALSE,FALSE,TRUE,FALSE
YMR014W,FALSE,FALSE,TRUE,FALSE
YMR021C,FALSE,FALSE,TRUE,FALSE
YMR047C,FALSE,FALSE,TRUE,FALSE
YMR077C,FALSE,FALSE,TRUE,FALSE
YMR080C,FALSE,FALSE,TRUE,FALSE
YMR169C,FALSE,FALSE,TRUE,FALSE
YMR223W,FALSE,FALSE,TRUE,FALSE
YMR255W,FALSE,FALSE,TRUE,FALSE
YMR262W,FALSE,FALSE,TRUE,FALSE
YMR288W,FALSE,FALSE,TRUE,FALSE
YMR306W,FALSE,FALSE,TRUE,FALSE
YMR320W,FALSE,FALSE,TRUE,FALSE
YNL042W,FALSE,FALSE,TRUE,FALSE
YNL050C,FALSE,FALSE,TRUE,FALSE
YNL108C,FALSE,FALSE,TRUE,FALSE
YNL158W,FALSE,FALSE,TRUE,FALSE
YNL218W,FALSE,FALSE,TRUE,FALSE
YNL231C,FALSE,FALSE,TRUE,FALSE
YNL238W,FALSE,FALSE,TRUE,FALSE
YNL279W,FALSE,FALSE,TRUE,FALSE
YNL282W,FALSE,FALSE,TRUE,FALSE
YNR039C,FALSE,FALSE,TRUE,FALSE
YNR044W,FALSE,FALSE,TRUE,FALSE
YNR051C,FALSE,FALSE,TRUE,FALSE
YNR057C,FALSE,FALSE,TRUE,FALSE
YNR075W,FALSE,FALSE,TRUE,FALSE
YOL070C,FALSE,FALSE,TRUE,FALSE
YOL105C,FALSE,FALSE,TRUE,FALSE
YOL137W,FALSE,FALSE,TRUE,FALSE
YOL151W,FALSE,FALSE,TRUE,FALSE
YOL154W,FALSE,FALSE,TRUE,FALSE
YOL164W,FALSE,FALSE,TRUE,FALSE
YOR028C,FALSE,FALSE,TRUE,FALSE
YOR051C,FALSE,FALSE,TRUE,FALSE
YOR059C,FALSE,FALSE,TRUE,FALSE
YOR062C,FALSE,FALSE,TRUE,FALSE
YOR130C,FALSE,FALSE,TRUE,FALSE
YOR161C,FALSE,FALSE,TRUE,FALSE
YOR192C,FALSE,FALSE,TRUE,FALSE
YOR194C,FALSE,FALSE,TRUE,FALSE
YOR328W,FALSE,FALSE,TRUE,FALSE
YOR390W,FALSE,FALSE,TRUE,FALSE
YPL159C,FALSE,FALSE,TRUE,FALSE
YPL162C,FALSE,FALSE,TRUE,FALSE
YPL233W,FALSE,FALSE,TRUE,FALSE
YPR003C,FALSE,FALSE,TRUE,FALSE
YPR046W,FALSE,FALSE,TRUE,FALSE
YPR053C,FALSE,FALSE,TRUE,FALSE
YPR066W,FALSE,FALSE,TRUE,FALSE
YPR084W,FALSE,FALSE,TRUE,FALSE
YPR101W,FALSE,FALSE,TRUE,FALSE
YPR119W,FALSE,FALSE,TRUE,FALSE
YPR149W,FALSE,FALSE,TRUE,FALSE
YPR152C,FALSE,FALSE,TRUE,FALSE
YPR157W,FALSE,FALSE,TRUE,FALSE
YPR158W,FALSE,FALSE,TRUE,FALSE
YAR075W,FALSE,FALSE,FALSE,TRUE
YBR031W,FALSE,FALSE,FALSE,TRUE
YDL130W,FALSE,FALSE,FALSE,TRUE
YDL174C,FALSE,FALSE,FALSE,TRUE
YDL181W,FALSE,FALSE,FALSE,TRUE
YDR178W,FALSE,FALSE,FALSE,TRUE
YDR342C,FALSE,FALSE,FALSE,TRUE
YDR529C,FALSE,FALSE,FALSE,TRUE
YEL024W,FALSE,FALSE,FALSE,TRUE
YFR033C,FALSE,FALSE,FALSE,TRUE
YGL147C,FALSE,FALSE,FALSE,TRUE
YGL162W,FALSE,FALSE,FALSE,TRUE
YGL187C,FALSE,FALSE,FALSE,TRUE
YGL191W,FALSE,FALSE,FALSE,TRUE
YGR027C,FALSE,FALSE,FALSE,TRUE
YHR001W,FALSE,FALSE,FALSE,TRUE
YHR005C,FALSE,FALSE,FALSE,TRUE
YHR051W,FALSE,FALSE,FALSE,TRUE
YHR216W,FALSE,FALSE,FALSE,TRUE
YIL070C,FALSE,FALSE,FALSE,TRUE
YJR048W,FALSE,FALSE,FALSE,TRUE
YJR158W,FALSE,FALSE,FALSE,TRUE
YKL148C,FALSE,FALSE,FALSE,TRUE
YLL041C,FALSE,FALSE,FALSE,TRUE
YLR038C,FALSE,FALSE,FALSE,TRUE
YLR089C,FALSE,FALSE,FALSE,TRUE
YLR395C,FALSE,FALSE,FALSE,TRUE
YMR145C,FALSE,FALSE,FALSE,TRUE
YNL052W,FALSE,FALSE,FALSE,TRUE
YOR293W,FALSE,FALSE,FALSE,TRUE
YPL078C,FALSE,FALSE,FALSE,TRUE
YPL271W,FALSE,FALSE,FALSE,TRUE
YPR020W,FALSE,FALSE,FALSE,TRUE
YPR191W,FALSE,FALSE,FALSE,TRUE
